year,gdp_per_person
1960,1799
1961,1853
1962,1857
1963,1957
1964,2072
1965,2149
1966,2329
1967,2464
1968,2705
1969,3006
1970,3210
1971,3449
1972,3599
1973,4029
1974,4300
1975,4525
1976,4997
1977,5479
1978,5929
1979,6291
1980,6038
1981,6318
1982,6678
1983,7388
1984,7990
1985,8451
1986,9225
1987,10183
1988,11184
1989,11746
1990,12656
1991,13882
1992,14591
1993,15436
1994,16698
1995,18120
1996,19365
1997,20368
1998,19184
1999,21233
2000,22964
2001,23894
2002,25591
2003,26260
2004,27516
2005,28641
2006,29991
2007,31570
2008,32275
2009,32364
2010,34394
2011,35389
2012,36049
2013,37021
2014,37967
2015,38829
2016,39815
2017,40957
2018,41966
2019,42759
2020,42336
2021,44123
2022,45341
2023,46738
2024,48000
