date,close_krw,volume
2022-06-02,227000,137833
2022-06-03,228000,137854
2022-06-07,221500,146529
2022-06-08,222000,102544
2022-06-09,227500,196150
2022-06-10,223500,160657
2022-06-13,199000,454935
2022-06-14,193000,499366
2022-06-15,145000,4212828
2022-06-16,148000,2713956
2022-06-17,148500,879832
2022-06-20,149500,489287
2022-06-21,149500,506620
2022-06-22,139500,481524
2022-06-23,139500,558128
2022-06-24,148000,406847
2022-06-27,152000,395216
2022-06-28,147000,538781
2022-06-29,148500,233353
2022-06-30,145500,248262
2022-07-01,140000,253927
