code,year,value,country
BRA,1970,3595.95086280878,Brazil
BRA,1971,3907.01225977893,Brazil
BRA,1972,4268.38384697753,Brazil
BRA,1973,4748.26246385619,Brazil
BRA,1974,5013.81724730208,Brazil
BRA,1975,5148.9106187339,Brazil
BRA,1976,5543.43637942576,Brazil
BRA,1977,5679.78590996985,Brazil
BRA,1978,5821.49131249962,Brazil
BRA,1979,6069.05474310333,Brazil
BRA,1980,6472.85214591952,Brazil
BRA,1981,6055.09781428103,Brazil
BRA,1982,5967.77899586532,Brazil
BRA,1983,5664.96368501244,Brazil
BRA,1984,5841.74986464143,Brazil
BRA,1985,6167.51343658643,Brazil
BRA,1986,6494.28087914562,Brazil
BRA,1987,6591.60882870649,Brazil
BRA,1988,6463.00545238554,Brazil
BRA,1989,6545.42575572846,Brazil
BRA,1990,6149.86788926381,Brazil
BRA,1991,6107.64883675747,Brazil
BRA,1992,5973.98285622586,Brazil
BRA,1993,6167.46092178931,Brazil
BRA,1994,6427.16901943704,Brazil
BRA,1995,6596.33572674819,Brazil
BRA,1996,6640.7270065575,Brazil
BRA,1997,6764.85842091319,Brazil
BRA,1998,6687.49523550242,Brazil
BRA,1999,6621.63676249539,Brazil
BRA,2000,6817.784240857,Brazil
BRA,2001,6823.03396999891,Brazil
BRA,2002,6944.62337495755,Brazil
BRA,2003,6941.4404574508,Brazil
BRA,2004,7258.78185165912,Brazil
BRA,2005,7409.56913232718,Brazil
BRA,2006,7622.04007133264,Brazil
BRA,2007,8003.25413096047,Brazil
BRA,2008,8330.76459841304,Brazil
BRA,2009,8246.09706995094,Brazil
BRA,2010,8792.63436120342,Brazil
BRA,2011,9067.99316348047,Brazil
BRA,2012,9167.49923929815,Brazil
BRA,2013,9366.73932434359,Brazil
BRA,2014,9338.34278278114,Brazil
BRA,2015,8936.19661712113,Brazil
BRA,2016,8577.84376650911,Brazil
BRA,2017,8628.25308908043,Brazil
BRA,2018,8722.33630317935,Brazil
BRA,2019,8771.44051292177,Brazil
BRA,2020,8435.01143254978,Brazil
BRA,2021,8799.22945810901,Brazil
BRA,2022,9032.08481566299,Brazil
BRA,2023,9288.02701470069,Brazil
BRA,2024,9566.74518687619,Brazil
CHN,1970,287.353854283243,China
CHN,1971,299.305407404138,China
CHN,1972,303.166764336598,China
CHN,1973,319.317346193733,China
CHN,1974,320.013476105269,China
CHN,1975,341.827004315989,China
CHN,1976,331.294213681681,China
CHN,1977,351.549547458872,China
CHN,1978,386.167053595622,China
CHN,1979,409.99006489222,China
CHN,1980,436.628325064633,China
CHN,1981,453.119684821175,China
CHN,1982,486.788897534069,China
CHN,1983,531.489502016356,China
CHN,1984,604.253640849507,China
CHN,1985,676.125961043923,China
CHN,1986,725.721895334567,China
CHN,1987,797.416224331495,China
CHN,1988,872.728317988186,China
CHN,1989,895.614384005007,China
CHN,1990,917.187887177205,China
CHN,1991,989.585278674846,China
CHN,1992,1117.29533882968,China
CHN,1993,1258.34142676619,China
CHN,1994,1406.97393365064,China
CHN,1995,1545.07897848105,China
CHN,1996,1681.45741269443,China
CHN,1997,1819.07954081306,China
CHN,1998,1944.46718626424,China
