year,value,inflation,series,category
1989,123.966666666667,NA,CPIAUCNS,All items
1990,130.658333333333,5.3979564399032,CPIAUCNS,All items
1991,136.191666666667,4.23496396453855,CPIAUCNS,All items
1992,140.316666666667,3.02881967814967,CPIAUCNS,All items
1993,144.458333333333,2.95165696638557,CPIAUCNS,All items
1994,148.225,2.60744159215458,CPIAUCNS,All items
1995,152.383333333333,2.80541968853658,CPIAUCNS,All items
1996,156.85,2.93120419993438,CPIAUCNS,All items
1997,160.516666666667,2.33768993730741,CPIAUCNS,All items
1998,163.008333333333,1.55227909874365,CPIAUCNS,All items
1999,166.575,2.18802719697357,CPIAUCNS,All items
2000,172.2,3.37685727149932,CPIAUCNS,All items
2001,177.066666666667,2.82617111885406,CPIAUCNS,All items
2002,179.875,1.58603162650603,CPIAUCNS,All items
2003,183.958333333333,2.27009497336113,CPIAUCNS,All items
2004,188.883333333333,2.67723669309172,CPIAUCNS,All items
2005,195.291666666667,3.39274684549546,CPIAUCNS,All items
2006,201.591666666667,3.22594410070407,CPIAUCNS,All items
2007,207.342416666667,2.85267248150138,CPIAUCNS,All items
2008,215.3025,3.839100296651,CPIAUCNS,All items
2009,214.537,-0.355546266299744,CPIAUCNS,All items
2010,218.0555,1.64004344238988,CPIAUCNS,All items
2011,224.939166666667,3.15684156862206,CPIAUCNS,All items
2012,229.593916666667,2.06933726526062,CPIAUCNS,All items
2013,232.957083333333,1.46483265562714,CPIAUCNS,All items
2014,236.736166666667,1.62222297740822,CPIAUCNS,All items
2015,237.017,0.11862713555244,CPIAUCNS,All items
2016,240.007166666667,1.26158320570537,CPIAUCNS,All items
2017,245.119583333333,2.13011000365961,CPIAUCNS,All items
2018,251.106833333333,2.44258329692819,CPIAUCNS,All items
2019,255.657416666667,1.81221007526013,CPIAUCNS,All items
2020,258.811166666667,1.23358439630639,CPIAUCNS,All items
2021,270.96975,4.69785886363738,CPIAUCNS,All items
2022,292.654916666667,8.00279982052119,CPIAUCNS,All items
2023,304.701583333333,4.1163383837449,CPIAUCNS,All items
2024,313.688833333333,2.94952520485208,CPIAUCNS,All items
1989,149.25,NA,CPIMEDNS,Medical care
1990,162.8,9.07872696817422,CPIMEDNS,Medical care
1991,177.016666666667,8.73259623259621,CPIMEDNS,Medical care
1992,190.066666666667,7.37218717634875,CPIMEDNS,Medical care
1993,201.408333333333,5.96720448965276,CPIMEDNS,Medical care
1994,211.016666666667,4.77057387562581,CPIMEDNS,Medical care
1995,220.466666666667,4.47831924808468,CPIMEDNS,Medical care
1996,228.225,3.51905049894163,CPIMEDNS,Medical care
1997,234.583333333333,2.78599335451126,CPIMEDNS,Medical care
1998,242.133333333333,3.21847246891651,CPIMEDNS,Medical care
1999,250.583333333333,3.4898127753304,CPIMEDNS,Medical care
2000,260.75,4.05719986697706,CPIMEDNS,Medical care
2001,272.758333333333,4.60530520933204,CPIMEDNS,Medical care
2002,285.6,4.70807491369039,CPIMEDNS,Medical care
2003,297.075,4.01785714285714,CPIMEDNS,Medical care
2004,310.133333333333,4.39563522118434,CPIMEDNS,Medical care
2005,323.225,4.22130266552021,CPIMEDNS,Medical care
2006,336.183333333333,4.00907520561011,CPIMEDNS,Medical care
2007,351.053583333333,4.42325615983343,CPIMEDNS,Medical care
2008,364.064833333333,3.70634302503203,CPIMEDNS,Medical care
2009,375.61325,3.17207695149535,CPIMEDNS,Medical care
2010,388.435666666667,3.41372852705988,CPIMEDNS,Medical care
2011,400.2575,3.04344691999618,CPIMEDNS,Medical care
2012,414.923916666667,3.66424530874916,CPIMEDNS,Medical care
2013,425.1345,2.46083267876218,CPIMEDNS,Medical care
2014,435.29225,2.38930267950495,CPIMEDNS,Medical care
2015,446.752083333333,2.63267571001629,CPIMEDNS,Medical care
2016,463.674666666667,3.78791369187794,CPIMEDNS,Medical care
2017,475.321833333333,2.51192646568283,CPIMEDNS,Medical care
2018,484.707,1.9744867600233,CPIMEDNS,Medical care
2019,498.413333333333,2.82775642467168,CPIMEDNS,Medical care
2020,518.8755,4.10546133062251,CPIMEDNS,Medical care
