era,country,date,monthly_inflation_percent,price_index,price_measure,source_id
Before 1960,Germany,1919-02-01,3.053435,270,Wholesale price index,sargent_1982
Before 1960,Germany,1919-03-01,1.481481,274,Wholesale price index,sargent_1982
Before 1960,Germany,1919-04-01,4.379562,286,Wholesale price index,sargent_1982
Before 1960,Germany,1919-05-01,3.846154,297,Wholesale price index,sargent_1982
Before 1960,Germany,1919-06-01,3.703704,308,Wholesale price index,sargent_1982
Before 1960,Germany,1919-07-01,10.064935,339,Wholesale price index,sargent_1982
Before 1960,Germany,1919-08-01,24.483776,422,Wholesale price index,sargent_1982
Before 1960,Germany,1919-09-01,16.824645,493,Wholesale price index,sargent_1982
Before 1960,Germany,1919-10-01,13.995943,562,Wholesale price index,sargent_1982
Before 1960,Germany,1919-11-01,20.640569,678,Wholesale price index,sargent_1982
Before 1960,Germany,1919-12-01,18.436578,803,Wholesale price index,sargent_1982
Before 1960,Germany,1920-01-01,56.911582,1260,Wholesale price index,sargent_1982
Before 1960,Germany,1920-02-01,34.126984,1690,Wholesale price index,sargent_1982
Before 1960,Germany,1920-03-01,1.183432,1710,Wholesale price index,sargent_1982
Before 1960,Germany,1920-04-01,-8.187135,1570,Wholesale price index,sargent_1982
Before 1960,Germany,1920-05-01,-3.821656,1510,Wholesale price index,sargent_1982
Before 1960,Germany,1920-06-01,-8.609272,1380,Wholesale price index,sargent_1982
Before 1960,Germany,1920-07-01,-0.724638,1370,Wholesale price index,sargent_1982
Before 1960,Germany,1920-08-01,5.839416,1450,Wholesale price index,sargent_1982
Before 1960,Germany,1920-09-01,3.448276,1500,Wholesale price index,sargent_1982
Before 1960,Germany,1920-10-01,-2,1470,Wholesale price index,sargent_1982
Before 1960,Germany,1920-11-01,2.721088,1510,Wholesale price index,sargent_1982
Before 1960,Germany,1920-12-01,-4.635762,1440,Wholesale price index,sargent_1982
Before 1960,Germany,1921-01-01,0,1440,Wholesale price index,sargent_1982
Before 1960,Germany,1921-02-01,-4.166667,1380,Wholesale price index,sargent_1982
Before 1960,Germany,1921-03-01,-2.898551,1340,Wholesale price index,sargent_1982
Before 1960,Germany,1921-04-01,-0.746269,1330,Wholesale price index,sargent_1982
Before 1960,Germany,1921-05-01,-1.503759,1310,Wholesale price index,sargent_1982
Before 1960,Germany,1921-06-01,4.580153,1370,Wholesale price index,sargent_1982
Before 1960,Germany,1921-07-01,4.379562,1430,Wholesale price index,sargent_1982
Before 1960,Germany,1921-08-01,34.265734,1920,Wholesale price index,sargent_1982
Before 1960,Germany,1921-09-01,7.8125,2070,Wholesale price index,sargent_1982
Before 1960,Germany,1921-10-01,18.84058,2460,Wholesale price index,sargent_1982
Before 1960,Germany,1921-11-01,39.02439,3420,Wholesale price index,sargent_1982
Before 1960,Germany,1921-12-01,2.046784,3490,Wholesale price index,sargent_1982
Before 1960,Germany,1922-01-01,5.157593,3670,Wholesale price index,sargent_1982
Before 1960,Germany,1922-02-01,11.716621,4100,Wholesale price index,sargent_1982
Before 1960,Germany,1922-03-01,32.439024,5430,Wholesale price index,sargent_1982
Before 1960,Germany,1922-04-01,17.127072,6360,Wholesale price index,sargent_1982
Before 1960,Germany,1922-05-01,1.572327,6460,Wholesale price index,sargent_1982
Before 1960,Germany,1922-06-01,8.823529,7030,Wholesale price index,sargent_1982
Before 1960,Germany,1922-07-01,44.523471,10160,Wholesale price index,sargent_1982
Before 1960,Germany,1922-08-01,88.976378,19200,Wholesale price index,sargent_1982
Before 1960,Germany,1922-09-01,49.479167,28700,Wholesale price index,sargent_1982
Before 1960,Germany,1922-10-01,97.212544,56600,Wholesale price index,sargent_1982
Before 1960,Germany,1922-11-01,103.35689,115100,Wholesale price index,sargent_1982
Before 1960,Germany,1922-12-01,28.132059,147480,Wholesale price index,sargent_1982
Before 1960,Germany,1923-01-01,88.839165,278500,Wholesale price index,sargent_1982
Before 1960,Germany,1923-02-01,111.310592,588500,Wholesale price index,sargent_1982
Before 1960,Germany,1923-03-01,-16.941376,488800,Wholesale price index,sargent_1982
Before 1960,Germany,1923-04-01,6.628478,521200,Wholesale price index,sargent_1982
Before 1960,Germany,1923-05-01,56.753645,817000,Wholesale price index,sargent_1982
Before 1960,Germany,1923-06-01,137.270502,1938500,Wholesale price index,sargent_1982
Before 1960,Germany,1923-07-01,285.798298,7478700,Wholesale price index,sargent_1982
Before 1960,Germany,1923-08-01,1162.306283,94404100,Wholesale price index,sargent_1982
Before 1960,Germany,1923-09-01,2436.848823,2394889300,Wholesale price index,sargent_1982
Before 1960,Germany,1923-10-01,29524.75134,7.0948e+11,Wholesale price index,sargent_1982
Before 1960,Germany,1923-11-01,10128.618143,7.257e+13,Wholesale price index,sargent_1982
Before 1960,Germany,1923-12-01,73.845942,1.2616e+14,Wholesale price index,sargent_1982
Before 1960,Germany,1924-01-01,-7.006975,1.1732e+14,Wholesale price index,sargent_1982
Before 1960,Germany,1924-02-01,-0.980225,1.1617e+14,Wholesale price index,sargent_1982
Before 1960,Germany,1924-03-01,3.873633,1.2067e+14,Wholesale price index,sargent_1982
Before 1960,Germany,1924-04-01,2.801028,1.2405e+14,Wholesale price index,sargent_1982
Before 1960,Germany,1924-05-01,-1.281741,1.2246e+14,Wholesale price index,sargent_1982
Before 1960,Germany,1924-06-01,-5.356851,1.159e+14,Wholesale price index,sargent_1982
