era,country,date,monthly_inflation_percent,price_index,price_measure,source_id
Before 1960,Hungary,1921-08-01,28.571429,5400,Retail index through Nov. 1923; wholesale thereafter,sargent_1982
Before 1960,Hungary,1921-09-01,15.740741,6250,Retail index through Nov. 1923; wholesale thereafter,sargent_1982
Before 1960,Hungary,1921-10-01,8,6750,Retail index through Nov. 1923; wholesale thereafter,sargent_1982
Before 1960,Hungary,1921-11-01,22.962963,8300,Retail index through Nov. 1923; wholesale thereafter,sargent_1982
Before 1960,Hungary,1921-12-01,-0.60241,8250,Retail index through Nov. 1923; wholesale thereafter,sargent_1982
Before 1960,Hungary,1922-01-01,-1.818182,8100,Retail index through Nov. 1923; wholesale thereafter,sargent_1982
Before 1960,Hungary,1922-02-01,4.938272,8500,Retail index through Nov. 1923; wholesale thereafter,sargent_1982
Before 1960,Hungary,1922-03-01,16.470588,9900,Retail index through Nov. 1923; wholesale thereafter,sargent_1982
Before 1960,Hungary,1922-04-01,8.585859,10750,Retail index through Nov. 1923; wholesale thereafter,sargent_1982
Before 1960,Hungary,1922-05-01,2.325581,11000,Retail index through Nov. 1923; wholesale thereafter,sargent_1982
Before 1960,Hungary,1922-06-01,17.272727,12900,Retail index through Nov. 1923; wholesale thereafter,sargent_1982
Before 1960,Hungary,1922-07-01,34.883721,17400,Retail index through Nov. 1923; wholesale thereafter,sargent_1982
Before 1960,Hungary,1922-08-01,22.988506,21400,Retail index through Nov. 1923; wholesale thereafter,sargent_1982
Before 1960,Hungary,1922-09-01,24.299065,26600,Retail index through Nov. 1923; wholesale thereafter,sargent_1982
Before 1960,Hungary,1922-10-01,23.684211,32900,Retail index through Nov. 1923; wholesale thereafter,sargent_1982
Before 1960,Hungary,1922-11-01,-0.911854,32600,Retail index through Nov. 1923; wholesale thereafter,sargent_1982
Before 1960,Hungary,1922-12-01,2.453988,33400,Retail index through Nov. 1923; wholesale thereafter,sargent_1982
Before 1960,Hungary,1923-01-01,15.269461,38500,Retail index through Nov. 1923; wholesale thereafter,sargent_1982
Before 1960,Hungary,1923-02-01,8.571429,41800,Retail index through Nov. 1923; wholesale thereafter,sargent_1982
Before 1960,Hungary,1923-03-01,57.894737,66000,Retail index through Nov. 1923; wholesale thereafter,sargent_1982
Before 1960,Hungary,1923-04-01,26.515152,83500,Retail index through Nov. 1923; wholesale thereafter,sargent_1982
Before 1960,Hungary,1923-05-01,12.57485,94000,Retail index through Nov. 1923; wholesale thereafter,sargent_1982
Before 1960,Hungary,1923-06-01,53.723404,144500,Retail index through Nov. 1923; wholesale thereafter,sargent_1982
Before 1960,Hungary,1923-07-01,97.923875,286000,Retail index through Nov. 1923; wholesale thereafter,sargent_1982
Before 1960,Hungary,1923-08-01,61.713287,462500,Retail index through Nov. 1923; wholesale thereafter,sargent_1982
Before 1960,Hungary,1923-09-01,19.783784,554000,Retail index through Nov. 1923; wholesale thereafter,sargent_1982
Before 1960,Hungary,1923-10-01,5.956679,587000,Retail index through Nov. 1923; wholesale thereafter,sargent_1982
Before 1960,Hungary,1923-11-01,8.177172,635000,Retail index through Nov. 1923; wholesale thereafter,sargent_1982
Before 1960,Hungary,1923-12-01,12.440945,714000,Retail index through Nov. 1923; wholesale thereafter,sargent_1982
Before 1960,Hungary,1924-01-01,43.697479,1026000,Retail index through Nov. 1923; wholesale thereafter,sargent_1982
Before 1960,Hungary,1924-02-01,79.249513,1839100,Retail index through Nov. 1923; wholesale thereafter,sargent_1982
Before 1960,Hungary,1924-03-01,12.919363,2076700,Retail index through Nov. 1923; wholesale thereafter,sargent_1982
Before 1960,Hungary,1924-04-01,2.788077,2134600,Retail index through Nov. 1923; wholesale thereafter,sargent_1982
Before 1960,Hungary,1924-05-01,6.32437,2269600,Retail index through Nov. 1923; wholesale thereafter,sargent_1982
Before 1960,Hungary,1924-06-01,-2.722947,2207800,Retail index through Nov. 1923; wholesale thereafter,sargent_1982
Before 1960,Hungary,1924-07-01,3.926986,2294500,Retail index through Nov. 1923; wholesale thereafter,sargent_1982
Before 1960,Hungary,1924-08-01,-2.28808,2242000,Retail index through Nov. 1923; wholesale thereafter,sargent_1982
Before 1960,Hungary,1924-09-01,-0.240856,2236600,Retail index through Nov. 1923; wholesale thereafter,sargent_1982
Before 1960,Hungary,1924-10-01,2.172941,2285200,Retail index through Nov. 1923; wholesale thereafter,sargent_1982
Before 1960,Hungary,1924-11-01,1.063364,2309500,Retail index through Nov. 1923; wholesale thereafter,sargent_1982
Before 1960,Hungary,1924-12-01,1.606408,2346600,Retail index through Nov. 1923; wholesale thereafter,sargent_1982
Before 1960,Hungary,1925-01-01,-1.666241,2307500,Retail index through Nov. 1923; wholesale thereafter,sargent_1982
Before 1960,Hungary,1925-02-01,-3.848321,2218700,Retail index through Nov. 1923; wholesale thereafter,sargent_1982
Before 1960,Hungary,1925-03-01,-4.547708,2117800,Retail index through Nov. 1923; wholesale thereafter,sargent_1982
