month,ipca_monthly_percent
1985-01-01,11.76
1985-02-01,10.87
1985-03-01,10.16
1985-04-01,8.20
1985-05-01,7.20
1985-06-01,8.49
1985-07-01,10.31
1985-08-01,12.05
1985-09-01,11.12
1985-10-01,10.62
1985-11-01,13.97
1985-12-01,15.07
1986-01-01,14.37
1986-02-01,12.72
1986-03-01,4.77
1986-04-01,0.78
1986-05-01,1.40
1986-06-01,1.27
1986-07-01,1.71
1986-08-01,3.55
1986-09-01,1.72
1986-10-01,1.90
1986-11-01,5.45
1986-12-01,11.65
1987-01-01,13.21
1987-02-01,12.64
1987-03-01,16.37
1987-04-01,19.10
1987-05-01,21.45
1987-06-01,19.71
1987-07-01,9.21
1987-08-01,4.87
1987-09-01,7.78
1987-10-01,11.22
1987-11-01,15.08
1987-12-01,14.15
1988-01-01,18.89
1988-02-01,15.70
1988-03-01,17.60
1988-04-01,19.29
1988-05-01,17.42
1988-06-01,22.00
1988-07-01,21.91
1988-08-01,21.59
1988-09-01,27.45
1988-10-01,25.62
1988-11-01,27.94
1988-12-01,28.70
1989-01-01,37.49
1989-02-01,16.78
1989-03-01,6.82
1989-04-01,8.33
1989-05-01,17.92
1989-06-01,28.65
1989-07-01,27.74
1989-08-01,33.71
1989-09-01,37.56
1989-10-01,39.77
1989-11-01,47.82
1989-12-01,51.50
1990-01-01,67.55
1990-02-01,75.73
1990-03-01,82.39
1990-04-01,15.52
1990-05-01,7.59
1990-06-01,11.75
1990-07-01,12.92
1990-08-01,12.88
1990-09-01,14.41
1990-10-01,14.36
1990-11-01,16.81
1990-12-01,18.44
1991-01-01,20.75
1991-02-01,20.72
1991-03-01,11.92
1991-04-01,4.99
1991-05-01,7.43
1991-06-01,11.19
1991-07-01,12.41
1991-08-01,15.63
1991-09-01,15.63
1991-10-01,20.23
1991-11-01,25.21
1991-12-01,23.71
1992-01-01,25.94
1992-02-01,24.32
1992-03-01,21.40
1992-04-01,19.93
1992-05-01,24.86
1992-06-01,20.21
1992-07-01,21.83
1992-08-01,22.14
1992-09-01,24.63
1992-10-01,25.24
1992-11-01,22.49
1992-12-01,25.24
1993-01-01,30.35
1993-02-01,24.98
1993-03-01,27.26
1993-04-01,27.75
1993-05-01,27.69
1993-06-01,30.07
1993-07-01,30.72
1993-08-01,32.96
1993-09-01,35.69
1993-10-01,33.92
1993-11-01,35.56
1993-12-01,36.84
1994-01-01,41.31
1994-02-01,40.27
1994-03-01,42.75
1994-04-01,42.68
1994-05-01,44.03
1994-06-01,47.43
1994-07-01,6.84
1994-08-01,1.86
1994-09-01,1.53
1994-10-01,2.62
1994-11-01,2.81
1994-12-01,1.71
1995-01-01,1.70
1995-02-01,1.02
1995-03-01,1.55
1995-04-01,2.43
1995-05-01,2.67
1995-06-01,2.26
1995-07-01,2.36
1995-08-01,0.99
1995-09-01,0.99
1995-10-01,1.41
1995-11-01,1.47
1995-12-01,1.56
1996-01-01,1.34
1996-02-01,1.03
1996-03-01,0.35
1996-04-01,1.26
1996-05-01,1.22
1996-06-01,1.19
1996-07-01,1.11
1996-08-01,0.44
1996-09-01,0.15
1996-10-01,0.30
1996-11-01,0.32
1996-12-01,0.47
