era,country,date,monthly_inflation_percent,price_index,price_measure,source_id
1960 onward,Zimbabwe,2007-03-01,50.54,,CPI through July 2008; PPP estimate thereafter,hanke_kwok_2009
1960 onward,Zimbabwe,2007-04-01,100.7,,CPI through July 2008; PPP estimate thereafter,hanke_kwok_2009
1960 onward,Zimbabwe,2007-05-01,55.4,,CPI through July 2008; PPP estimate thereafter,hanke_kwok_2009
1960 onward,Zimbabwe,2007-06-01,86.2,,CPI through July 2008; PPP estimate thereafter,hanke_kwok_2009
1960 onward,Zimbabwe,2007-07-01,31.6,,CPI through July 2008; PPP estimate thereafter,hanke_kwok_2009
1960 onward,Zimbabwe,2007-08-01,11.8,,CPI through July 2008; PPP estimate thereafter,hanke_kwok_2009
1960 onward,Zimbabwe,2007-09-01,38.7,,CPI through July 2008; PPP estimate thereafter,hanke_kwok_2009
1960 onward,Zimbabwe,2007-10-01,135.62,,CPI through July 2008; PPP estimate thereafter,hanke_kwok_2009
1960 onward,Zimbabwe,2007-11-01,131.42,,CPI through July 2008; PPP estimate thereafter,hanke_kwok_2009
1960 onward,Zimbabwe,2007-12-01,240.06,,CPI through July 2008; PPP estimate thereafter,hanke_kwok_2009
1960 onward,Zimbabwe,2008-01-01,120.83,,CPI through July 2008; PPP estimate thereafter,hanke_kwok_2009
1960 onward,Zimbabwe,2008-02-01,125.86,,CPI through July 2008; PPP estimate thereafter,hanke_kwok_2009
1960 onward,Zimbabwe,2008-03-01,281.29,,CPI through July 2008; PPP estimate thereafter,hanke_kwok_2009
1960 onward,Zimbabwe,2008-04-01,212.54,,CPI through July 2008; PPP estimate thereafter,hanke_kwok_2009
1960 onward,Zimbabwe,2008-05-01,433.4,,CPI through July 2008; PPP estimate thereafter,hanke_kwok_2009
1960 onward,Zimbabwe,2008-06-01,839.3,,CPI through July 2008; PPP estimate thereafter,hanke_kwok_2009
1960 onward,Zimbabwe,2008-07-01,2600.24,,CPI through July 2008; PPP estimate thereafter,hanke_kwok_2009
1960 onward,Zimbabwe,2008-08-01,3190,,CPI through July 2008; PPP estimate thereafter,hanke_kwok_2009
1960 onward,Zimbabwe,2008-09-01,12400,,CPI through July 2008; PPP estimate thereafter,hanke_kwok_2009
1960 onward,Zimbabwe,2008-10-01,6.9e+08,,CPI through July 2008; PPP estimate thereafter,hanke_kwok_2009
1960 onward,Zimbabwe,2008-11-14,7.96e+10,,CPI through July 2008; PPP estimate thereafter,hanke_kwok_2009
