country,code,year,gdp_per_person
Argentina,ARG,1900,4583.0
Argentina,ARG,1901,4591.0
Argentina,ARG,1902,4331.0
Argentina,ARG,1903,4769.0
Argentina,ARG,1904,5086.0
Argentina,ARG,1905,5545.0
Argentina,ARG,1906,5608.0
Argentina,ARG,1907,5514.0
Argentina,ARG,1908,5829.0
Argentina,ARG,1909,5896.0
Argentina,ARG,1910,6092.0
Argentina,ARG,1911,5971.0
Argentina,ARG,1912,6223.0
Argentina,ARG,1913,6052.0
Argentina,ARG,1914,5263.0
Argentina,ARG,1915,5171.0
Argentina,ARG,1916,4927.0
Argentina,ARG,1917,4447.0
Argentina,ARG,1918,5177.0
Argentina,ARG,1919,5271.0
Argentina,ARG,1920,5536.0
Argentina,ARG,1921,5533.0
Argentina,ARG,1922,5796.0
Argentina,ARG,1923,6213.0
Argentina,ARG,1924,6464.0
Argentina,ARG,1925,6247.0
Argentina,ARG,1926,6366.0
Argentina,ARG,1927,6625.0
Argentina,ARG,1928,6840.0
Argentina,ARG,1929,6961.0
Argentina,ARG,1930,6503.0
Argentina,ARG,1931,5917.0
Argentina,ARG,1932,5614.0
Argentina,ARG,1933,5772.0
Argentina,ARG,1934,6129.0
Argentina,ARG,1935,6296.0
Argentina,ARG,1936,6236.0
Argentina,ARG,1937,6575.0
Argentina,ARG,1938,6491.0
Argentina,ARG,1939,6612.0
Argentina,ARG,1940,6633.0
Argentina,ARG,1941,6861.0
Argentina,ARG,1942,6829.0
Argentina,ARG,1943,6666.0
Argentina,ARG,1944,7299.0
Argentina,ARG,1945,6943.0
Argentina,ARG,1946,7436.0
Argentina,ARG,1947,8112.0
Argentina,ARG,1948,8372.0
Argentina,ARG,1949,8045.0
Argentina,ARG,1950,7949.0
Argentina,ARG,1951,8086.0
Argentina,ARG,1952,7519.0
Argentina,ARG,1953,7769.0
Argentina,ARG,1954,7938.0
Argentina,ARG,1955,8348.0
Argentina,ARG,1956,8424.0
Argentina,ARG,1957,8705.0
Argentina,ARG,1958,9083.0
Argentina,ARG,1959,8354.0
Argentina,ARG,1960,8861.0
Argentina,ARG,1961,9344.0
Argentina,ARG,1962,9049.0
Argentina,ARG,1963,8695.0
Argentina,ARG,1964,9446.0
Argentina,ARG,1965,10155.0
Argentina,ARG,1966,10076.0
Argentina,ARG,1967,10200.0
Argentina,ARG,1968,10485.0
Argentina,ARG,1969,11217.0
Argentina,ARG,1970,11639.0
Argentina,ARG,1971,12003.0
Argentina,ARG,1972,12170.0
Argentina,ARG,1973,12691.0
Argentina,ARG,1974,13284.0
Argentina,ARG,1975,12946.0
Argentina,ARG,1976,12696.0
Argentina,ARG,1977,13236.0
Argentina,ARG,1978,12444.0
Argentina,ARG,1979,13114.0
Argentina,ARG,1980,13080.0
Argentina,ARG,1981,12125.0
Argentina,ARG,1982,11550.0
Argentina,ARG,1983,11775.0
Argentina,ARG,1984,11837.0
Argentina,ARG,1985,10895.0
Argentina,ARG,1986,11515.0
Argentina,ARG,1987,11633.0
Argentina,ARG,1988,11244.0
Argentina,ARG,1989,10393.0
Argentina,ARG,1990,10254.0
Argentina,ARG,1991,11223.984
Argentina,ARG,1992,12267.084
Argentina,ARG,1993,12926.795
Argentina,ARG,1994,13571.38
Argentina,ARG,1995,13086.036
Argentina,ARG,1996,13715.227
Argentina,ARG,1997,14722.6455
Argentina,ARG,1998,15185.959
Argentina,ARG,1999,14577.832
Argentina,ARG,2000,14368.942
Argentina,ARG,2001,13651.981
Argentina,ARG,2002,12094.772
Argentina,ARG,2003,13088.565
Argentina,ARG,2004,14183.226
Argentina,ARG,2005,15344.157
Argentina,ARG,2006,16490.473
Argentina,ARG,2007,17891.943
Argentina,ARG,2008,18520.305
Argentina,ARG,2009,17328.977
Argentina,ARG,2010,18979.992
Argentina,ARG,2011,20003.0
Argentina,ARG,2012,19573.963
Argentina,ARG,2013,19821.643
Argentina,ARG,2014,19112.232
Argentina,ARG,2015,19423.666
Argentina,ARG,2016,18819.643
Argentina,ARG,2017,19150.52
Argentina,ARG,2018,18460.87
Argentina,ARG,2019,17912.637
Argentina,ARG,2020,15975.839
Argentina,ARG,2021,17470.682
Argentina,ARG,2022,18292.318
Australia,AUS,1900,6397.0
Australia,AUS,1901,6119.0
Australia,AUS,1902,6094.0
Australia,AUS,1903,6497.0
Australia,AUS,1904,6846.0
Australia,AUS,1905,6825.0
Australia,AUS,1906,7184.0
Australia,AUS,1907,7358.0
Australia,AUS,1908,7481.0
Australia,AUS,1909,7940.0
Australia,AUS,1910,8305.0
Australia,AUS,1911,8136.0
Australia,AUS,1912,8126.0
Australia,AUS,1913,8220.0
Australia,AUS,1914,8013.0
Australia,AUS,1915,7806.0
Australia,AUS,1916,7775.0
Australia,AUS,1917,7637.0
Australia,AUS,1918,7336.0
Australia,AUS,1919,7517.0
Australia,AUS,1920,7597.0
Australia,AUS,1921,7828.0
Australia,AUS,1922,8072.0
Australia,AUS,1923,8276.0
Australia,AUS,1924,8635.0
Australia,AUS,1925,8851.0
Australia,AUS,1926,8883.0
Australia,AUS,1927,8837.0
Australia,AUS,1928,8690.0
Australia,AUS,1929,8389.0
Australia,AUS,1930,7504.0
Australia,AUS,1931,6940.0
Australia,AUS,1932,7275.0
Australia,AUS,1933,7718.0
Australia,AUS,1934,8066.0
Australia,AUS,1935,8477.0
Australia,AUS,1936,8792.0
Australia,AUS,1937,9159.0
Australia,AUS,1938,9382.0
Australia,AUS,1939,9318.0
Australia,AUS,1940,9828.0
Australia,AUS,1941,10820.0
Australia,AUS,1942,11963.0
Australia,AUS,1943,12278.0
Australia,AUS,1944,11735.0
Australia,AUS,1945,11026.0
Australia,AUS,1946,10512.0
Australia,AUS,1947,10622.0
Australia,AUS,1948,11105.0
Australia,AUS,1949,11536.0
Australia,AUS,1950,11815.0
Australia,AUS,1951,11966.0
Australia,AUS,1952,11824.0
Australia,AUS,1953,11963.0
Australia,AUS,1954,12419.0
Australia,AUS,1955,12795.0
Australia,AUS,1956,12924.0
Australia,AUS,1957,12895.0
Australia,AUS,1958,13238.0
Australia,AUS,1959,13753.0
Australia,AUS,1960,14013.0
Australia,AUS,1961,13793.0
Australia,AUS,1962,14389.0
Australia,AUS,1963,14983.0
Australia,AUS,1964,15699.0
Australia,AUS,1965,16182.0
Australia,AUS,1966,16324.0
Australia,AUS,1967,17108.0
Australia,AUS,1968,17770.0
Australia,AUS,1969,18428.0
Australia,AUS,1970,19166.0
Australia,AUS,1971,19590.0
Australia,AUS,1972,19772.0
Australia,AUS,1973,20527.0
Australia,AUS,1974,20698.0
Australia,AUS,1975,20993.0
Australia,AUS,1976,21613.0
Australia,AUS,1977,21592.0
Australia,AUS,1978,21948.0
Australia,AUS,1979,22826.0
Australia,AUS,1980,22972.0
Australia,AUS,1981,23368.0
Australia,AUS,1982,22972.0
Australia,AUS,1983,22697.0
Australia,AUS,1984,24009.0
Australia,AUS,1985,24927.0
Australia,AUS,1986,25116.0
Australia,AUS,1987,25971.0
Australia,AUS,1988,26702.0
Australia,AUS,1989,27407.0
Australia,AUS,1990,27373.0
Australia,AUS,1991,26861.275
Australia,AUS,1992,27560.178
Australia,AUS,1993,28622.477
Australia,AUS,1994,29844.172
Australia,AUS,1995,30690.062
Australia,AUS,1996,31740.47
Australia,AUS,1997,32857.992
Australia,AUS,1998,34337.14
Australia,AUS,1999,35551.02
Australia,AUS,2000,36603.047
Australia,AUS,2001,37275.992
Australia,AUS,2002,38567.066
Australia,AUS,2003,39523.656
Australia,AUS,2004,40887.727
Australia,AUS,2005,41904.445
Australia,AUS,2006,42650.984
Australia,AUS,2007,44033.582
Australia,AUS,2008,44421.64
Australia,AUS,2009,44686.543
Australia,AUS,2010,45400.223
Australia,AUS,2011,46132.0
Australia,AUS,2012,47045.13
Australia,AUS,2013,47260.953
Australia,AUS,2014,47753.848
Australia,AUS,2015,48145.53
Australia,AUS,2016,48675.137
Australia,AUS,2017,49001.902
Australia,AUS,2018,49614.387
Australia,AUS,2019,49814.67
Australia,AUS,2020,48268.945
Australia,AUS,2021,50704.934
Australia,AUS,2022,52049.43
Canada,CAN,1900,4640.0
Canada,CAN,1901,4937.0
Canada,CAN,1902,5310.0
Canada,CAN,1903,5314.0
Canada,CAN,1904,5228.0
Canada,CAN,1905,5678.0
Canada,CAN,1906,6130.0
Canada,CAN,1907,6177.0
Canada,CAN,1908,5694.0
Canada,CAN,1909,6137.0
Canada,CAN,1910,6481.0
Canada,CAN,1911,6715.0
Canada,CAN,1912,6977.0
Canada,CAN,1913,7088.0
Canada,CAN,1914,6416.0
Canada,CAN,1915,6747.0
Canada,CAN,1916,7406.0
Canada,CAN,1917,7653.0
Canada,CAN,1918,7079.0
Canada,CAN,1919,6406.0
Canada,CAN,1920,6154.0
Canada,CAN,1921,5351.0
Canada,CAN,1922,6046.0
Canada,CAN,1923,6338.0
Canada,CAN,1924,6339.0
Canada,CAN,1925,6918.0
Canada,CAN,1926,7168.0
Canada,CAN,1927,7726.0
Canada,CAN,1928,8244.0
Canada,CAN,1929,8074.0
Canada,CAN,1930,7669.0
Canada,CAN,1931,6382.0
Canada,CAN,1932,5852.0
Canada,CAN,1933,5372.0
Canada,CAN,1934,5883.0
Canada,CAN,1935,6298.0
Canada,CAN,1936,6574.0
Canada,CAN,1937,7130.0
Canada,CAN,1938,7246.0
Canada,CAN,1939,7600.0
Canada,CAN,1940,8557.0
Canada,CAN,1941,9645.0
Canada,CAN,1942,11210.0
Canada,CAN,1943,11577.0
Canada,CAN,1944,11864.0
Canada,CAN,1945,11370.0
Canada,CAN,1946,11048.0
Canada,CAN,1947,11298.0
Canada,CAN,1948,11261.0
Canada,CAN,1949,11260.0
Canada,CAN,1950,11622.0
Canada,CAN,1951,12007.0
Canada,CAN,1952,12486.0
Canada,CAN,1953,12726.0
Canada,CAN,1954,12272.0
Canada,CAN,1955,13072.0
Canada,CAN,1956,13791.0
Canada,CAN,1957,13719.0
Canada,CAN,1958,13603.0
Canada,CAN,1959,13829.0
Canada,CAN,1960,13952.0
Canada,CAN,1961,14080.0
Canada,CAN,1962,14787.0
Canada,CAN,1963,15248.0
Canada,CAN,1964,15938.0
Canada,CAN,1965,16694.0
Canada,CAN,1966,17448.0
Canada,CAN,1967,17658.0
Canada,CAN,1968,18297.0
Canada,CAN,1969,18988.0
Canada,CAN,1970,19207.0
Canada,CAN,1971,20024.0
Canada,CAN,1972,20837.0
Canada,CAN,1973,22058.0
Canada,CAN,1974,22643.0
Canada,CAN,1975,22819.0
Canada,CAN,1976,23754.0
Canada,CAN,1977,24265.0
Canada,CAN,1978,24994.0
Canada,CAN,1979,25775.0
Canada,CAN,1980,25784.0
Canada,CAN,1981,26256.0
Canada,CAN,1982,25151.0
Canada,CAN,1983,25625.0
Canada,CAN,1984,26836.0
Canada,CAN,1985,28025.0
Canada,CAN,1986,28472.0
Canada,CAN,1987,29246.0
Canada,CAN,1988,30275.0
Canada,CAN,1989,30458.0
Canada,CAN,1990,30082.0
Canada,CAN,1991,29151.697
Canada,CAN,1992,29141.191
Canada,CAN,1993,29657.574
Canada,CAN,1994,30745.822
Canada,CAN,1995,31330.72
Canada,CAN,1996,31594.242
Canada,CAN,1997,32709.691
Canada,CAN,1998,33785.746
Canada,CAN,1999,35345.723
Canada,CAN,2000,36942.562
Canada,CAN,2001,37307.207
Canada,CAN,2002,38123.99
Canada,CAN,2003,38559.977
Canada,CAN,2004,39491.57
Canada,CAN,2005,40485.02
Canada,CAN,2006,41247.15
Canada,CAN,2007,41806.863
Canada,CAN,2008,41896.426
Canada,CAN,2009,40312.62
Canada,CAN,2010,41209.426
Canada,CAN,2011,42197.0
Canada,CAN,2012,42476.344
Canada,CAN,2013,43008.83
Canada,CAN,2014,43800.64
Canada,CAN,2015,43761.527
Canada,CAN,2016,43702.08
Canada,CAN,2017,44493.652
Canada,CAN,2018,45087.887
Canada,CAN,2019,45284.215
Canada,CAN,2020,42493.63
Canada,CAN,2021,44379.594
Canada,CAN,2022,45529.645
United States,USA,1900,8037.5713
United States,USA,1901,8770.363
United States,USA,1902,8684.228
United States,USA,1903,8941.348
United States,USA,1904,8663.658
United States,USA,1905,9121.332
United States,USA,1906,9980.113
United States,USA,1907,9950.544
United States,USA,1908,8975.976
United States,USA,1909,9798.118
United States,USA,1910,9636.783
United States,USA,1911,9735.89
United States,USA,1912,9976.567
United States,USA,1913,10107.97
United States,USA,1914,9096.372
United States,USA,1915,9164.177
United States,USA,1916,10222.32
United States,USA,1917,9769.078
United States,USA,1918,10471.306
United States,USA,1919,10449.78
United States,USA,1920,10152.927
United States,USA,1921,9674.881
United States,USA,1922,10009.715
United States,USA,1923,11071.243
United States,USA,1924,11126.713
United States,USA,1925,11149.772
United States,USA,1926,11647.768
United States,USA,1927,11532.397
United States,USA,1928,11451.069
United States,USA,1929,11954.235
United States,USA,1930,10694.982
United States,USA,1931,9930.964
United States,USA,1932,8380.504
United States,USA,1933,8048.2246
United States,USA,1934,8667.092
United States,USA,1935,9680.839
United States,USA,1936,10568.013
United States,USA,1937,11295.099
United States,USA,1938,10526.134
United States,USA,1939,11171.448
United States,USA,1940,12005.095
United States,USA,1941,13553.401
United States,USA,1942,14869.861
United States,USA,1943,16050.218
United States,USA,1944,16999.328
United States,USA,1945,16477.553
United States,USA,1946,14822.467
United States,USA,1947,14311.547
United States,USA,1948,14734.232
United States,USA,1949,14196.672
United States,USA,1950,15240.0
United States,USA,1951,16125.0
United States,USA,1952,16444.0
United States,USA,1953,16917.0
United States,USA,1954,16512.0
