decile,us_group,mean_daily,mean_annual,lower_daily,upper_daily,global_rank_at_mean,global_rank_label,global_rank_lower,global_rank_upper,upper_above_99
1,0–10%,15.239075770974159,5562.262656405568,0.0,25.129627227783203,67.48046589120781,About percentile 67,0.0,78.74262610175221,False
2,10–20%,30.50505256652832,11134.344186782837,25.129627227783203,35.57548522949219,82.17165503198113,About percentile 82,78.74262610175221,84.59044655718813,False
3,20–30%,40.6486156463623,14836.74471092224,35.57548522949219,45.63943099975586,86.60942182105808,About percentile 87,84.59044655718813,88.28028741849823,False
4,30–40%,50.72856407165527,18515.925886154175,45.63943099975586,55.917755126953125,89.76321705904104,About percentile 90,88.28028741849823,91.05963620552704,False
5,40–50%,61.754525375366214,22540.401762008667,55.917755126953125,67.7236099243164,92.30835498728767,About percentile 92,91.05963620552704,93.39301471188134,False
6,50–60%,74.57743530273437,27220.763885498047,67.7236099243164,81.85527801513672,94.42928503486486,About percentile 94,93.39301471188134,95.33783590971123,False
7,60–70%,90.4157730102539,33001.757148742676,81.85527801513672,99.61293029785156,96.2054575644755,About percentile 96,95.33783590971123,96.94901976023232,False
8,70–80%,111.63135375976563,40745.44412231445,99.61293029785156,125.23594665527344,97.59807166949683,About percentile 98,96.94901976023232,98.16522591518414,False
9,80–90%,145.9441925048828,53269.63026428223,125.23594665527344,172.98831176757812,98.74012953737167,About percentile 99,98.16522591518414,99.0,True
10,90–100%,278.05114593505857,101488.66826629637,172.98831176757812,,99.0,Above 99th,99.0,100.0,True
