country,iso3,year,real_gdp_per_person
Argentina,ARG,1960,7397.10965495682
Argentina,ARG,1961,7670.59545571641
Argentina,ARG,1962,7480.27172420174
Argentina,ARG,1963,6967.75019555221
Argentina,ARG,1964,7551.02490778789
Argentina,ARG,1965,8219.55155637229
Argentina,ARG,1966,8041.22487411475
Argentina,ARG,1967,8172.27456469042
Argentina,ARG,1968,8436.30856351031
Argentina,ARG,1969,9111.9459748551
Argentina,ARG,1970,9244.12251785153
Argentina,ARG,1971,9614.61061692134
Argentina,ARG,1972,9617.68814943737
Argentina,ARG,1973,9729.53258885903
Argentina,ARG,1974,10100.4469136163
Argentina,ARG,1975,9936.49583447894
Argentina,ARG,1976,9584.74851751038
Argentina,ARG,1977,10088.3374871635
Argentina,ARG,1978,9480.94009490414
Argentina,ARG,1979,10284.6064087552
Argentina,ARG,1980,10275.7987023886
Argentina,ARG,1981,9587.67379423426
Argentina,ARG,1982,9365.68465387847
Argentina,ARG,1983,9617.7000569575
Argentina,ARG,1984,9614.44726215357
Argentina,ARG,1985,8973.31874865813
Argentina,ARG,1986,9378.46866394349
Argentina,ARG,1987,9484.45876638052
Argentina,ARG,1988,9236.80771302535
Argentina,ARG,1989,8445.4100923428
Argentina,ARG,1990,8115.09386370753
Argentina,ARG,1991,8729.82318518892
Argentina,ARG,1992,9293.18692251748
Argentina,ARG,1993,9920.67358582437
Argentina,ARG,1994,10359.8927204871
Argentina,ARG,1995,9934.10776139515
Argentina,ARG,1996,10352.1400002191
Argentina,ARG,1997,11056.6881331002
Argentina,ARG,1998,11348.2022124673
Argentina,ARG,1999,10838.3199346387
Argentina,ARG,2000,10631.6503639029
Argentina,ARG,2001,10051.9448463043
Argentina,ARG,2002,8861.56199282278
Argentina,ARG,2003,9545.53194119994
Argentina,ARG,2004,10302.4465316428
Argentina,ARG,2005,11099.7509190602
Argentina,ARG,2006,11870.2791559298
Argentina,ARG,2007,12811.9021206578
Argentina,ARG,2008,13197.3570267029
Argentina,ARG,2009,12285.3784651865
Argentina,ARG,2010,13387.1553748458
Argentina,ARG,2011,14040.6189124444
Argentina,ARG,2012,13754.4254235596
Argentina,ARG,2013,13946.0950832252
Argentina,ARG,2014,13456.1319159151
Argentina,ARG,2015,13679.6264980954
Argentina,ARG,2016,13265.8860639123
Argentina,ARG,2017,13520.1129846159
Argentina,ARG,2018,13058.3285449954
Argentina,ARG,2019,12706.3978108968
Argentina,ARG,2020,11393.0505957877
Argentina,ARG,2021,12549.2811699342
Argentina,ARG,2022,13276.8232110189
Argentina,ARG,2023,12993.0928872416
Argentina,ARG,2024,12774.3506596628
South Korea,KOR,1960,1037.72899231615
South Korea,KOR,1961,1077.10464038579
South Korea,KOR,1962,1087.79362228726
South Korea,KOR,1963,1153.23486916692
South Korea,KOR,1964,1229.36998908154
South Korea,KOR,1965,1286.16625407866
South Korea,KOR,1966,1404.83811121824
South Korea,KOR,1967,1498.01049644544
South Korea,KOR,1968,1657.18854005249
South Korea,KOR,1969,1856.48418780744
South Korea,KOR,1970,2001.04656436772
South Korea,KOR,1971,2170.9646968132
South Korea,KOR,1972,2286.93666830827
South Korea,KOR,1973,2583.31158461691
South Korea,KOR,1974,2784.47241806545
South Korea,KOR,1975,2955.1963902217
South Korea,KOR,1976,3294.13497099216
South Korea,KOR,1977,3644.59385270464
South Korea,KOR,1978,3986.99777854343
South Korea,KOR,1979,4270.07298916474
South Korea,KOR,1980,4139.9606854608
South Korea,KOR,1981,4377.64026742067
South Korea,KOR,1982,4675.53053701243
South Korea,KOR,1983,5227.53893142287
South Korea,KOR,1984,5712.63984757483
South Korea,KOR,1985,6105.74268983951
South Korea,KOR,1986,6740.69941617276
South Korea,KOR,1987,7535.12660432782
South Korea,KOR,1988,8367.04656522944
South Korea,KOR,1989,8878.29655251462
South Korea,KOR,1990,9672.57845182894
South Korea,KOR,1991,10618.8431439122
South Korea,KOR,1992,11176.560685871
South Korea,KOR,1993,11837.4692053797
South Korea,KOR,1994,12817.2447824958
South Korea,KOR,1995,13924.3044000347
South Korea,KOR,1996,14894.3278834104
South Korea,KOR,1997,15682.2717905189
South Korea,KOR,1998,14800.5091573641
South Korea,KOR,1999,16402.9168341094
South Korea,KOR,2000,17763.1353417297
South Korea,KOR,2001,18460.4288193829
South Korea,KOR,2002,19775.3800655139
South Korea,KOR,2003,20278.0406421178
South Korea,KOR,2004,21244.8136800528
South Korea,KOR,2005,22123.7613066851
South Korea,KOR,2006,23162.1860111297
South Korea,KOR,2007,24391.7651013448
South Korea,KOR,2008,24934.5396367691
South Korea,KOR,2009,25009.9148311999
South Korea,KOR,2010,26623.0487122927
South Korea,KOR,2011,27393.455357272
South Korea,KOR,2012,27944.0564190045
South Korea,KOR,2013,28732.711152033
South Korea,KOR,2014,29470.6732991655
South Korea,KOR,2015,30171.7906545222
South Korea,KOR,2016,31005.4072876388
South Korea,KOR,2017,31979.9027302467
South Korea,KOR,2018,32852.8887488942
South Korea,KOR,2019,33496.3113815643
South Korea,KOR,2020,33215.9298928108
South Korea,KOR,2021,34792.9397214598
South Korea,KOR,2022,35809.0138105144
South Korea,KOR,2023,36347.7036392553
South Korea,KOR,2024,37048.4264001496
Nigeria,NGA,1960,1454.98091927811
Nigeria,NGA,1961,1428.11709253056
Nigeria,NGA,1962,1455.81737398191
Nigeria,NGA,1963,1547.48395499912
Nigeria,NGA,1964,1589.68156021223
Nigeria,NGA,1965,1631.55987468294
