geo,time,income_per_person_gdppercapita_ppp_inflation_adjusted
arg,1913,7035
arg,1914,6118
arg,1915,6011
arg,1916,5727
arg,1917,5169
arg,1918,6018
arg,1919,6127
arg,1920,6435
arg,1921,6432
arg,1922,6738
arg,1923,7222
arg,1924,7514
arg,1925,7262
arg,1926,7400
arg,1927,7701
arg,1928,7951
arg,1929,8092
arg,1930,7559
arg,1931,6878
arg,1932,6526
arg,1933,6710
arg,1934,7125
arg,1935,7319
arg,1936,7249
arg,1937,7643
arg,1938,7545
arg,1939,7686
arg,1940,7711
arg,1941,7976
arg,1942,7938
arg,1943,7749
arg,1944,8485
arg,1945,8071
arg,1946,8644
arg,1947,9430
arg,1948,9732
arg,1949,9352
arg,1950,9240
arg,1951,9400
arg,1952,8740
arg,1953,9031
arg,1954,9228
arg,1955,9704
arg,1956,9792
arg,1957,10119
arg,1958,10559
arg,1959,9711
arg,1960,10300
arg,1961,10930
arg,1962,10650
arg,1963,10296
arg,1964,11254
arg,1965,12172
arg,1966,12150
arg,1967,12373
arg,1968,12795
arg,1969,13769
arg,1970,14372
arg,1971,14908
arg,1972,15203
arg,1973,15946
arg,1974,16787
arg,1975,16454
arg,1976,16228
arg,1977,17014
arg,1978,16086
arg,1979,17047
arg,1980,17097
arg,1981,15936
arg,1982,15264
arg,1983,15647
arg,1984,15815
arg,1985,14635
arg,1986,15551
arg,1987,15795
arg,1988,15348
arg,1989,14261
arg,1990,14145
arg,1991,15222
arg,1992,16209
arg,1993,17312
arg,1994,18092
arg,1995,17363
arg,1996,18105
arg,1997,19348
arg,1998,19866
arg,1999,18981
arg,2000,18625
arg,2001,17611
arg,2002,15523
arg,2003,16715
arg,2004,18033
arg,2005,19426
arg,2006,20778
arg,2007,22424
arg,2008,23103
arg,2009,21520
arg,2010,23521
arg,2011,24648
arg,2012,24119
arg,2013,24424
arg,2014,23550
arg,2015,23934
arg,2016,23190
arg,2017,23597
arg,2018,22747
arg,2019,22066
arg,2020,19686
bra,1913,1216
bra,1914,1167
bra,1915,1195
bra,1916,1204
bra,1917,1262
bra,1918,1210
bra,1919,1341
bra,1920,1444
bra,1921,1444
bra,1922,1512
bra,1923,1566
bra,1924,1534
bra,1925,1509
bra,1926,1510
bra,1927,1588
bra,1928,1734
bra,1929,1703
bra,1930,1569
bra,1931,1504
bra,1932,1525
bra,1933,1612
bra,1934,1710
bra,1935,1723
bra,1936,1849
bra,1937,1872
bra,1938,1910
bra,1939,1891
bra,1940,1872
bra,1941,1956
bra,1942,1841
bra,1943,2049
bra,1944,2075
bra,1945,2083
bra,1946,2248
bra,1947,2274
bra,1948,2436
bra,1949,2562
bra,1950,2599
bra,1951,2649
bra,1952,2763
bra,1953,2811
bra,1954,2942
bra,1955,3110
bra,1956,3106
bra,1957,3247
bra,1958,3493
bra,1959,3721
bra,1960,3950
bra,1961,4189
bra,1962,4358
bra,1963,4276
bra,1964,4315
bra,1965,4313
bra,1966,4490
bra,1967,4570
bra,1968,4901
bra,1969,5245
bra,1970,5665
bra,1971,6170
bra,1972,6763
bra,1973,7547
bra,1974,7995
bra,1975,8241
bra,1976,8905
bra,1977,9161
bra,1978,9429
bra,1979,9870
bra,1980,10574
bra,1981,9928
bra,1982,9816
bra,1983,9362
bra,1984,9712
bra,1985,10313
bra,1986,10912
bra,1987,11122
bra,1988,10943
bra,1989,11130
bra,1990,10521
bra,1991,10444
bra,1992,10211
bra,1993,10537
bra,1994,10973
bra,1995,11254
bra,1996,11321
bra,1997,11524
bra,1998,11388
bra,1999,11273
bra,2000,11601
bra,2001,11602
bra,2002,11801
bra,2003,11786
bra,2004,12316
bra,2005,12566
bra,2006,12922
bra,2007,13565
bra,2008,14115
bra,2009,13962
bra,2010,14873
bra,2011,15323
bra,2012,15479
bra,2013,15805
bra,2014,15750
bra,2015,15064
bra,2016,14451
